交易日期,机构分类,净买入交易量（亿元）
2023/01/03,保险,-18.46
2023/01/03,其他,27.09
2023/01/03,券商,-34.52
2023/01/03,基金,13.27
2023/01/03,银行,12.62
2023/01/04,保险,-26.46
2023/01/04,其他,12.77
2023/01/04,券商,8.14
2023/01/04,基金,7.359999999999999
2023/01/04,银行,-1.810000000000002
2023/01/05,保险,-16.81
2023/01/05,其他,6.190000000000001
2023/01/05,券商,11.46
2023/01/05,基金,7.520000000000001
2023/01/05,银行,-8.349999999999998
2023/01/06,保险,0.9299999999999999
2023/01/06,其他,10.42
2023/01/06,券商,-70.02
2023/01/06,基金,35.4
2023/01/06,银行,23.27
2023/01/09,保险,-11.88
2023/01/09,其他,-10.42
2023/01/09,券商,1.140000000000001
2023/01/09,基金,-10.78
2023/01/09,银行,31.97
2023/01/10,保险,6.3
2023/01/10,其他,28.64
2023/01/10,券商,-58.0
2023/01/10,基金,-38.97
2023/01/10,银行,62.06
2023/01/11,保险,5.77
2023/01/11,其他,-25.59
2023/01/11,券商,35.17
2023/01/11,基金,-92.17
2023/01/11,银行,76.81000000000002
2023/01/12,保险,10.67
2023/01/12,其他,-0.7099999999999995
2023/01/12,券商,6.67
2023/01/12,基金,-5.479999999999999
2023/01/12,银行,-11.17
2023/01/13,保险,1.29
2023/01/13,其他,-6.6
2023/01/13,券商,-24.5
2023/01/13,基金,-20.34
2023/01/13,银行,50.16
2023/01/16,保险,7.73
2023/01/16,其他,3.090000000000001
2023/01/16,券商,-97.97
2023/01/16,基金,-81.65
2023/01/16,银行,168.81
2023/01/17,保险,2.11
2023/01/17,其他,23.58
2023/01/17,券商,5.790000000000002
2023/01/17,基金,-41.28
2023/01/17,银行,9.83
2023/01/18,保险,-2.49
2023/01/18,其他,20.06
2023/01/18,券商,-25.94
2023/01/18,基金,13.41
2023/01/18,银行,-5.059999999999998
2023/01/19,保险,-2.79
2023/01/19,其他,30.03
2023/01/19,券商,-57.53
2023/01/19,基金,21.44
2023/01/19,银行,8.820000000000006
2023/01/20,保险,0.09999999999999998
2023/01/20,其他,18.89
2023/01/20,券商,20.67
